"Team","Season","GP","Wins","Losses","OTL","Points","PointsPerc","RegulationWins","OTWins","SOWins","GF","GA","GP","GAP","PPperc","PKperc","SPG","SAG","FOWperc"
"Florida Panthers",2022,82,58,18,6,122,0.744,42,13,3,337,242,4.11,2.95,24.4,s,37.3,30.7,48.2
"Colorado Avalanche",2022,82,56,19,7,119,0.726,46,6,4,308,232,3.76,2.83,24,79.7,35,32,47.3
"Carolina Hurricanes",2022,82,54,20,8,116,0.707,47,6,1,277,200,3.38,2.44,22,88,34.1,28.2,53.9
"Toronto Maple Leafs",2022,82,54,21,7,115,0.701,45,6,3,312,252,3.8,3.07,27.3,82.1,34.6,30.6,55.1
"Minnesota Wild",2022,82,53,22,7,113,0.689,37,11,5,305,249,3.72,3.04,20.5,76.1,32.5,31.4,47.6
"Calgary Flames",2022,82,50,21,11,111,0.677,44,4,2,291,206,3.55,2.51,22.9,83.2,35.5,29,51.1
"New York Rangers",2022,82,52,24,6,110,0.671,44,4,4,250,204,3.05,2.49,25.2,82.3,29.2,30.8,48.1
"Tampa Bay Lightning",2022,82,51,23,8,110,0.671,39,10,2,285,228,3.48,2.78,23.9,80.6,30.9,29.8,50.1
"St. Louis Blues",2022,82,49,22,11,109,0.665,43,4,2,309,239,3.77,2.91,27,84.1,30.4,31.6,50.2
"Boston Bruins",2022,82,51,26,5,107,0.652,40,9,2,253,218,3.09,2.66,21.2,81.3,36.1,28.7,54.2
"Edmonton Oilers",2022,82,49,27,6,104,0.634,38,6,5,285,251,3.48,3.06,26,79.4,34,32.3,51.3
"Pittsburgh Penguins",2022,82,46,25,11,103,0.628,37,6,3,269,222,3.28,2.71,20.2,84.4,34.7,31.4,51.1
"Washington Capitals",2022,82,44,26,12,100,0.61,35,4,5,270,242,3.29,2.95,18.8,80.4,31.4,29,47.1
"Los Angeles Kings",2022,82,44,27,11,99,0.604,35,5,4,235,232,2.87,2.83,16.1,76.7,34.9,28.5,52.2
"Dallas Stars",2022,82,46,30,6,98,0.598,31,10,5,233,244,2.84,2.98,22.4,79,30.3,31,54.8
"Nashville Predators",2022,82,45,30,7,97,0.591,35,6,4,262,250,3.2,3.05,24.4,79.2,29.7,32.3,51.2
"Vegas Golden Knights",2022,82,43,31,8,94,0.573,34,5,4,262,244,3.2,2.98,18.4,77.4,34.5,30,49.3
"Vancouver Canucks",2022,82,40,30,12,92,0.561,32,5,3,246,231,3,2.82,23.5,74.9,32,31.9,52
"Winnipeg Jets",2022,82,39,32,11,89,0.543,32,5,2,250,253,3.05,3.09,21.1,75,32.3,33.2,50.7
"New York Islanders",2022,82,37,35,10,84,0.512,34,1,2,229,231,2.79,2.82,22.1,84.2,28.9,32.5,51.3
"Columbus Blue Jackets",2022,82,37,38,7,81,0.494,26,7,4,258,297,3.15,3.62,18.6,78.6,30,35.2,48.5
"San Jose Sharks",2022,82,32,37,13,77,0.47,22,7,3,211,261,2.57,3.18,19,85.2,29.3,32,49.6
"Anaheim Ducks",2022,82,31,37,14,76,0.463,22,5,4,228,266,2.78,3.24,21.9,80.8,29.2,33.2,48.2
"Buffalo Sabres",2022,82,32,39,11,75,0.457,25,4,3,229,287,2.79,3.5,21.2,76.4,29.9,33,46
"Detroit Red Wings",2022,82,32,40,10,74,0.451,21,8,3,227,310,2.77,3.78,16.3,73.8,29.4,33.7,49.4
"Ottawa Senators",2022,82,33,42,7,73,0.445,26,4,3,224,264,2.73,3.22,19.3,80.3,30,33.4,47.9
"Chicago Blackhawks",2022,82,28,42,12,68,0.415,16,6,6,213,289,2.6,3.52,19.2,76.2,28.8,33,49.6
"New Jersey Devils",2022,82,27,46,9,63,0.384,19,5,3,245,302,2.99,3.68,15.6,80.2,31.2,31,46.9
"Philadelphia Flyers",2022,82,25,46,11,61,0.372,20,4,1,210,294,2.56,3.59,12.6,75.7,31,34,52.1
"Seattle Kraken",2022,82,27,49,6,60,0.366,23,1,3,213,284,2.6,3.46,14.6,74.9,29,28.9,47.7
"Arizona Coyotes",2022,82,25,50,7,57,0.348,18,6,1,206,309,2.51,3.77,13.9,75,25.9,35.5,47.3
"Montreal Canadiens",2022,82,22,49,11,55,0.335,16,3,3,218,317,2.66,3.87,13.7,75.6,29.8,34.4,49.2
